time,value
2023-12-19 11:22:52,1551060
2023-12-19 11:37:31,1551060
2023-12-19 12:30:41,1551060
2023-12-19 13:19:10,1551060
2023-12-19 13:37:12,1551060
2023-12-19 14:13:52,1551060
2023-12-19 14:36:59,1551060
2023-12-19 14:48:24,1551060
2023-12-19 15:16:30,1551060
2023-12-19 15:37:22,1551060
2023-12-19 16:18:47,1551060
2023-12-19 16:37:10,1551060
2023-12-19 17:11:52,1551060
2023-12-19 17:37:19,1551060
2023-12-19 18:16:34,1551060
2023-12-19 18:37:01,1551060
2023-12-19 19:10:58,1551060
2023-12-19 19:37:03,1551060
2023-12-19 20:14:04,1551060
2023-12-19 20:37:10,1551060
2023-12-19 21:11:57,1551060
2023-12-19 21:37:08,1551060
2023-12-19 22:12:56,1551060
2023-12-19 22:37:12,1551060
2023-12-19 23:13:00,1551060
2023-12-19 23:37:11,1551060
2023-12-20 00:59:04,1551060
2023-12-20 01:38:41,1551060
2023-12-20 02:14:08,1551060
2023-12-20 02:37:09,1551060
2023-12-20 03:13:47,1551060
2023-12-20 03:37:31,1551060
2023-12-20 04:16:33,1551060
2023-12-20 04:37:10,1551060
2023-12-20 05:12:23,1551060
2023-12-20 05:37:06,1551060
2023-12-20 06:17:13,1551060
2023-12-20 06:37:06,1551060
2023-12-20 07:11:57,1551060
2023-12-20 07:37:00,1551060
2023-12-20 08:16:22,1551060
2023-12-20 08:37:26,1551060
2023-12-20 09:12:57,1551060
2023-12-20 09:37:01,1551060
2023-12-20 10:14:02,1551060
2023-12-20 10:37:07,1551060
2023-12-20 11:11:32,1551060
2023-12-20 11:36:53,1551060
2023-12-20 12:25:13,1551060
2023-12-20 12:43:34,1551060
2023-12-20 13:15:04,1551060
2023-12-20 13:37:12,1551060
2023-12-20 14:12:31,1551060
2023-12-20 14:37:03,1551060
2023-12-20 15:13:37,1551060
2023-12-20 15:37:13,1551060
2023-12-20 16:19:42,1551060
2023-12-20 16:40:42,1551060
2023-12-20 17:12:34,1551060
2023-12-20 17:37:04,1551060
2023-12-20 18:20:07,1551060
2023-12-20 18:37:45,1551060
2023-12-20 19:11:18,1551060
2023-12-20 19:37:00,1551060
2023-12-20 20:17:13,1551060
2023-12-20 20:37:26,1551060
2023-12-20 21:13:07,1551060
2023-12-20 21:37:13,1551060
2023-12-20 22:14:52,1551057
2023-12-20 22:37:21,1551057
2023-12-20 23:16:40,1551057
2023-12-20 23:37:15,1551057
2023-12-21 01:10:42,1551057
2023-12-21 02:08:43,1551057
2023-12-21 02:40:35,1551057
2023-12-21 03:16:43,1551057
2023-12-21 03:37:15,1551057
2023-12-21 04:19:21,1551057
2023-12-21 04:38:33,1551057
2023-12-21 05:15:20,1551057
2023-12-21 05:37:06,1551057
2023-12-21 06:21:02,1551057
2023-12-21 06:38:27,1551057
2023-12-21 07:14:57,1551057
2023-12-21 07:37:07,1551057
2023-12-21 08:20:01,1510493
2023-12-21 08:38:10,1510493
2023-12-21 09:15:43,1510493
2023-12-21 09:37:22,1510493
2023-12-21 10:17:02,1510493
2023-12-21 10:38:04,1510493
2023-12-21 11:13:24,1510493
2023-12-21 11:37:07,1510493
2023-12-21 12:30:10,1510493
2023-12-21 12:53:16,1510493
2023-12-21 13:18:55,1510493
2023-12-21 13:37:24,1510493
2023-12-21 14:14:38,1510493
2023-12-21 14:37:08,1510493
2023-12-21 15:16:09,1510493
2023-12-21 15:37:17,1510493
2023-12-21 16:20:48,1510493
2023-12-21 16:40:44,1510493
2023-12-21 17:14:42,1510493
2023-12-21 17:37:31,1510493
2023-12-21 18:18:25,1510493
2023-12-21 18:37:29,1510493
2023-12-21 19:11:44,1507547
2023-12-21 19:37:00,1504535
2023-12-21 20:16:27,1504535
2023-12-21 20:37:14,1504535
2023-12-21 21:14:43,1504535
2023-12-21 21:37:20,1503539
2023-12-21 22:14:15,1503539
2023-12-21 22:37:03,1503539
2023-12-21 23:16:38,1503539
2023-12-21 23:37:13,1503539
2023-12-22 01:10:20,1503539
2023-12-22 02:07:48,1503539
2023-12-22 02:39:58,1503539
2023-12-22 03:16:51,1503539
2023-12-22 03:37:21,1503539
2023-12-22 04:19:18,1503539
2023-12-22 04:37:45,1503539
2023-12-22 05:15:38,1503539
2023-12-22 05:37:13,1503539
2023-12-22 06:21:05,1503539
2023-12-22 06:38:26,1503539
2023-12-22 07:15:00,1503539
2023-12-22 07:37:06,1503539
2023-12-22 08:19:33,1502732
2023-12-22 08:37:21,1502732
2023-12-22 09:15:45,1502732
2023-12-22 09:37:06,1502732
2023-12-22 10:17:03,1502732
2023-12-22 10:37:26,1502732
2023-12-22 11:13:25,1502732
2023-12-22 11:37:11,1502732
2023-12-22 12:29:27,1502732
2023-12-22 12:51:36,1502732
2023-12-22 13:18:23,1502732
2023-12-22 13:37:15,1502732
2023-12-22 14:14:29,1502732
2023-12-22 14:37:02,1502732
2023-12-22 15:15:39,1502732
2023-12-22 15:37:04,1499054
2023-12-22 16:20:15,1499054
2023-12-22 16:39:18,1499054
2023-12-22 17:13:49,1499054
2023-12-22 17:37:20,1499054
2023-12-22 18:19:26,1499054
2023-12-22 18:37:07,1499054
2023-12-22 19:12:15,1496468
2023-12-22 19:37:09,1490584
2023-12-22 20:16:26,1490584
2023-12-22 20:37:13,1489129
2023-12-22 21:13:23,1488349
2023-12-22 21:37:19,1488349
2023-12-22 22:14:40,1488349
2023-12-22 22:36:57,1488349
2023-12-22 23:16:33,1488349
2023-12-22 23:37:33,1488349
2023-12-23 01:08:08,1488349
2023-12-23 02:04:46,1488349
2023-12-23 02:37:52,1488349
2023-12-23 03:16:32,1488349
2023-12-23 03:37:15,1488349
2023-12-23 04:19:21,1488349
2023-12-23 04:37:32,1488349
2023-12-23 05:14:13,1488349
2023-12-23 05:37:15,1487917
2023-12-23 06:19:30,1487917
2023-12-23 06:37:15,1487917
2023-12-23 07:13:55,1487917
2023-12-23 07:36:59,1487917
2023-12-23 08:18:39,1487917
2023-12-23 08:38:07,1487917
2023-12-23 09:14:13,1487728
2023-12-23 09:37:04,1487728
2023-12-23 10:15:32,1487728
2023-12-23 10:37:19,1487728
2023-12-23 11:12:27,1487728
2023-12-23 11:37:07,1487728
2023-12-23 12:27:10,1487728
2023-12-23 12:48:27,1487728
2023-12-23 13:17:00,1487728
2023-12-23 13:36:57,1487728
2023-12-23 14:13:17,1416907
2023-12-23 14:37:19,1416907
2023-12-23 15:14:34,1416907
2023-12-23 15:37:00,1416907
2023-12-23 16:18:48,1416907
2023-12-23 16:38:23,1416907
2023-12-23 17:13:36,1416907
2023-12-23 17:37:13,1416907
2023-12-23 18:18:53,1416907
2023-12-23 18:37:18,1416907
2023-12-23 19:11:59,1416907
2023-12-23 19:37:07,1416907
2023-12-23 20:15:24,1408690
2023-12-23 20:37:10,1408690
2023-12-23 21:12:53,1408690
2023-12-23 21:37:15,1408690
2023-12-23 22:14:11,1408690
2023-12-23 22:37:19,1408690
2023-12-23 23:15:33,1395648
2023-12-23 23:36:59,1395648
2023-12-24 01:15:15,1336247
2023-12-24 02:10:38,1336247
2023-12-24 02:41:09,1336247
2023-12-24 03:16:33,1336247
2023-12-24 03:37:16,1336247
2023-12-24 04:18:38,1336247
2023-12-24 04:37:11,1336247
2023-12-24 05:14:36,1336247
2023-12-24 05:36:56,1336247
2023-12-24 06:19:25,1336247
2023-12-24 06:37:11,1336247
2023-12-24 07:13:32,1336247
2023-12-24 07:37:00,1336247
2023-12-24 08:18:30,1336247
2023-12-24 08:37:02,1336247
2023-12-24 09:15:20,1336247
2023-12-24 09:37:07,1334735
2023-12-24 10:15:45,1316542
2023-12-24 10:37:03,1316542
2023-12-24 11:12:11,1316542
2023-12-24 11:37:07,1316542
2023-12-24 12:27:57,1316542
2023-12-24 12:49:12,1316542
2023-12-24 13:17:05,1316542
2023-12-24 13:37:11,1316542
2023-12-24 14:13:22,1316542
2023-12-24 14:37:01,1316542
2023-12-24 15:14:30,1316542
2023-12-24 15:37:00,1315704
2023-12-24 16:19:15,1315704
2023-12-24 16:38:19,1315704
2023-12-24 17:13:09,1315704
2023-12-24 17:37:12,1315704
2023-12-24 18:18:23,1315704
2023-12-24 18:37:06,1315704
2023-12-24 19:12:01,1315704
2023-12-24 19:37:04,1315704
2023-12-24 20:15:35,1315704
2023-12-24 20:37:22,1315704
2023-12-24 21:13:05,1315704
2023-12-24 21:37:21,1315704
2023-12-24 22:14:23,1315704
2023-12-24 22:37:10,1315704
2023-12-24 23:15:31,1315704
2023-12-24 23:37:23,1315704
2023-12-25 01:11:54,1315403
2023-12-25 02:09:28,1315403
2023-12-25 02:41:02,1315403
2023-12-25 03:16:58,1315403
2023-12-25 03:37:23,1315403
2023-12-25 04:19:32,1315403
2023-12-25 04:37:42,1315403
2023-12-25 05:16:02,1315403
2023-12-25 05:37:12,1315403
2023-12-25 06:21:26,1315403
2023-12-25 06:38:27,1315403
2023-12-25 07:15:11,1315403
2023-12-25 07:36:57,1315403
2023-12-25 08:20:20,1315403
2023-12-25 08:37:34,1315403
2023-12-25 09:16:10,1315352
2023-12-25 09:37:03,1315352
2023-12-25 10:17:14,1313726
2023-12-25 10:37:17,1313726
2023-12-25 11:13:27,1313408
2023-12-25 11:37:12,1313408
2023-12-25 12:29:24,1298331
2023-12-25 12:51:41,1298331
2023-12-25 13:17:57,1298331
2023-12-25 13:37:10,1298331
2023-12-25 14:14:18,1298331
2023-12-25 14:37:23,1298331
2023-12-25 15:16:40,1298331
2023-12-25 15:37:20,1298331
2023-12-25 16:20:46,1298331
2023-12-25 16:39:44,1298331
2023-12-25 17:13:32,1298331
2023-12-25 17:37:04,1298331
2023-12-25 18:19:12,1298331
2023-12-25 18:37:08,1298331
2023-12-25 19:13:08,1298331
2023-12-25 19:37:14,1298331
2023-12-25 20:16:08,1296575
2023-12-25 20:37:19,1296575
2023-12-25 21:13:26,1296575
2023-12-25 21:37:13,1296575
2023-12-25 22:14:52,1296575
2023-12-25 22:37:05,1296575
2023-12-25 23:15:50,1295105
2023-12-25 23:37:25,1295105
2023-12-26 01:09:12,1295105
2023-12-26 02:06:18,1295105
2023-12-26 02:38:59,1295105
2023-12-26 03:16:41,1295105
2023-12-26 03:38:19,1295105
2023-12-26 04:19:28,1295105
2023-12-26 04:37:44,1295105
2023-12-26 05:15:18,1295105
2023-12-26 05:37:08,1295105
2023-12-26 06:20:37,1295105
2023-12-26 06:37:55,1295105
2023-12-26 07:14:25,1295105
2023-12-26 07:37:18,1295105
2023-12-26 08:19:31,1295105
2023-12-26 08:37:15,1295105
2023-12-26 09:15:23,1295027
2023-12-26 09:37:14,1295027
2023-12-26 10:16:31,1295027
2023-12-26 10:37:07,1295027
2023-12-26 11:12:55,1295027
2023-12-26 11:37:07,1295027
2023-12-26 12:29:08,1295027
2023-12-26 12:50:45,1295027
2023-12-26 13:17:41,1295027
2023-12-26 13:36:56,1295027
2023-12-26 14:13:53,1295027
2023-12-26 14:37:12,1295027
2023-12-26 15:15:31,1290824
2023-12-26 15:37:10,1288193
2023-12-26 16:19:49,1288193
2023-12-26 16:39:52,1288193
2023-12-26 17:13:48,1288193
2023-12-26 17:37:06,1288193
2023-12-26 18:19:16,1265113
2023-12-26 18:37:12,1265113
2023-12-26 19:12:18,1264662
2023-12-26 19:37:22,1264323
2023-12-26 20:16:25,1264323
2023-12-26 20:37:09,1264323
2023-12-26 21:13:26,1264323
2023-12-26 21:37:06,1263933
2023-12-26 22:14:21,1261900
2023-12-26 22:36:56,1234522
2023-12-26 23:17:43,1234522
2023-12-26 23:37:09,1234522
2023-12-27 01:09:31,1218768
2023-12-27 02:06:39,1218768
2023-12-27 02:39:33,1218768
2023-12-27 03:17:09,1218768
2023-12-27 03:37:12,1218768
2023-12-27 04:19:07,1214814
2023-12-27 04:37:24,1214814
2023-12-27 05:15:11,1211701
2023-12-27 05:37:15,1211701
2023-12-27 06:21:01,1146489
2023-12-27 06:38:44,1140902
2023-12-27 07:14:35,1139769
2023-12-27 07:37:27,1139769
2023-12-27 08:19:11,1139769
2023-12-27 08:37:21,1139769
2023-12-27 09:15:20,1139769
2023-12-27 09:37:18,1139769
2023-12-27 10:16:55,1139769
2023-12-27 10:37:09,1139769
2023-12-27 11:13:18,1139769
2023-12-27 11:37:04,1139769
2023-12-27 12:29:23,1132172
2023-12-27 12:51:05,1132172
2023-12-27 13:18:32,1132172
2023-12-27 13:37:17,1132172
2023-12-27 14:14:02,1132172
2023-12-27 14:37:14,1132172
2023-12-27 15:15:43,1131255
2023-12-27 15:37:11,1131255
2023-12-27 16:19:59,1122340
2023-12-27 16:41:04,1122318
2023-12-27 17:13:36,1104092
2023-12-27 17:37:06,1104092
2023-12-27 18:19:14,1104092
2023-12-27 18:37:01,1103966
2023-12-27 19:12:50,1103966
2023-12-27 19:37:10,1103966
2023-12-27 20:16:17,1103966
2023-12-27 20:37:25,1103966
2023-12-27 21:14:23,1103966
2023-12-27 21:37:03,1103966
2023-12-27 22:14:53,1103402
2023-12-27 22:37:08,1103402
2023-12-27 23:15:52,1103402
2023-12-27 23:37:36,1103402
2023-12-28 01:09:23,1102470
2023-12-28 02:06:59,1095121
2023-12-28 02:39:11,1095121
2023-12-28 03:16:56,1095121
2023-12-28 03:37:12,1087811
2023-12-28 04:19:16,1086695
2023-12-28 04:37:38,1086695
2023-12-28 05:15:10,1086695
2023-12-28 05:37:07,1086695
2023-12-28 06:20:30,1086695
2023-12-28 06:38:07,1086695
2023-12-28 07:14:32,1086695
2023-12-28 07:37:07,1085033
2023-12-28 08:20:02,1061390
2023-12-28 08:37:15,1049815
2023-12-28 09:15:40,1049815
2023-12-28 09:37:08,1044632
2023-12-28 10:16:49,1044632
2023-12-28 10:37:17,1040897
2023-12-28 11:13:00,1040897
2023-12-28 11:37:22,1040897
2023-12-28 12:29:27,1039779
2023-12-28 12:51:34,1039779
2023-12-28 13:17:39,1039779
2023-12-28 13:36:59,1039779
2023-12-28 14:14:21,1039779
2023-12-28 14:37:25,1039779
2023-12-28 15:15:44,1039779
2023-12-28 15:37:22,1039779
2023-12-28 16:20:02,1039299
2023-12-28 16:40:50,1039299
2023-12-28 17:14:01,1036917
2023-12-28 17:37:05,1036778
2023-12-28 18:19:46,1036778
2023-12-28 18:37:18,1036778
2023-12-28 19:12:24,1036315
2023-12-28 19:37:09,1036315
2023-12-28 20:14:50,995126
2023-12-28 20:37:46,995126
2023-12-28 21:13:44,989786
2023-12-28 21:37:12,989786
2023-12-28 22:14:43,989786
2023-12-28 22:36:55,988760
2023-12-28 23:16:48,988760
2023-12-28 23:37:16,988760
2023-12-29 01:00:42,979102
2023-12-29 02:02:46,979102
2023-12-29 02:37:50,979102
2023-12-29 03:17:03,979102
2023-12-29 03:37:14,979102
2023-12-29 04:19:11,979102
2023-12-29 04:37:16,979102
2023-12-29 05:15:10,979102
2023-12-29 05:37:14,977013
2023-12-29 06:20:59,939479
2023-12-29 06:38:24,939479
2023-12-29 07:14:36,939240
2023-12-29 07:36:58,939240
2023-12-29 08:19:18,936361
2023-12-29 08:37:15,936361
2023-12-29 09:15:46,936361
2023-12-29 09:37:14,929315
2023-12-29 10:16:54,929315
2023-12-29 10:37:40,915576
2023-12-29 11:13:44,915576
2023-12-29 11:36:59,915576
2023-12-29 12:27:00,915576
2023-12-29 12:50:22,915576
2023-12-29 13:18:21,915576
