time,value
2023-02-25 00:16:10,1129
2023-02-25 01:36:10,1129
2023-02-25 02:49:24,1129
2023-02-25 03:21:39,1129
2023-02-25 03:39:38,1129
2023-02-25 04:21:53,1129
2023-02-25 04:41:59,1129
2023-02-25 05:16:21,1129
2023-02-25 05:37:24,1129
2023-02-25 06:21:44,1129
2023-02-25 06:41:23,1129
2023-02-25 07:15:40,1129
2023-02-25 07:37:13,1129
2023-02-25 08:21:29,1129
2023-02-25 08:40:33,1129
2023-02-25 09:16:47,1133
2023-02-25 09:37:39,1133
2023-02-25 10:17:57,1133
2023-02-25 10:38:13,1133
2023-02-25 11:14:21,1133
2023-02-25 11:37:01,1133
2023-02-25 12:32:05,1133
2023-02-25 13:21:13,1133
2023-02-25 13:37:19,1133
2023-02-25 14:14:59,1133
2023-02-25 14:37:20,1133
2023-02-25 15:16:52,1133
2023-02-25 15:37:13,1133
2023-02-25 16:22:55,1133
2023-02-25 16:44:20,1133
2023-02-25 17:15:22,1133
2023-02-25 17:37:15,1133
2023-02-25 18:21:21,1133
2023-02-25 18:40:43,1133
2023-02-25 19:13:56,1133
2023-02-25 19:37:15,1133
2023-02-25 20:18:32,1133
2023-02-25 20:37:45,1133
2023-02-25 21:15:00,1133
2023-02-25 21:37:31,1133
2023-02-25 22:16:39,1137
2023-02-25 22:37:51,1137
2023-02-26 01:44:04,1137
2023-02-26 03:29:55,1137
2023-02-26 03:45:31,1137
2023-02-26 04:21:35,1137
2023-02-26 04:41:49,1137
2023-02-26 05:16:31,1137
2023-02-26 05:37:16,1137
2023-02-26 06:22:09,1137
2023-02-26 06:41:39,1137
2023-02-26 07:16:02,1137
2023-02-26 07:37:00,1142
2023-02-26 08:21:56,1146
2023-02-26 09:37:46,1146
2023-02-26 10:18:15,1146
2023-02-26 10:38:50,1146
2023-02-26 11:14:29,1146
2023-02-26 11:37:11,1146
2023-02-26 12:33:35,1146
2023-02-26 13:22:43,1146
2023-02-26 13:37:51,1146
2023-02-26 14:15:38,1146
2023-02-26 14:37:18,1146
2023-02-26 15:17:13,1151
2023-02-26 15:37:36,1151
2023-02-26 16:23:07,1152
2023-02-26 16:44:54,1152
2023-02-26 17:15:24,1152
2023-02-26 17:37:10,1152
2023-02-26 18:21:12,1152
2023-02-26 18:40:13,1152
2023-02-26 19:13:47,1152
2023-02-26 19:36:59,1152
2023-02-26 20:18:10,1152
2023-02-26 20:37:35,1152
2023-02-26 21:14:48,1152
2023-02-26 21:37:18,1152
2023-02-26 22:16:25,1152
2023-02-26 22:37:44,1152
2023-02-26 23:37:43,1152
2023-02-27 01:37:29,1154
2023-02-27 02:51:00,1154
2023-02-27 03:23:00,1154
2023-02-27 03:41:02,1154
2023-02-27 04:22:51,1154
2023-02-27 04:42:36,1154
2023-02-27 05:17:28,1154
2023-02-27 05:37:26,1154
2023-02-27 06:24:11,1154
2023-02-27 06:43:18,1154
2023-02-27 07:17:20,1154
2023-02-27 07:37:19,1154
2023-02-27 08:24:45,1154
2023-02-27 08:43:17,1154
2023-02-27 09:19:14,1154
2023-02-27 09:38:44,1154
2023-02-27 10:20:41,1154
2023-02-27 10:51:55,1154
2023-02-27 11:15:31,1154
2023-02-27 11:37:32,1154
2023-02-27 12:37:03,1154
2023-02-27 13:27:55,1154
2023-02-27 13:42:40,1154
2023-02-27 14:17:39,1154
2023-02-27 14:39:04,1154
2023-02-27 15:19:21,1154
2023-02-27 15:39:58,1154
2023-02-27 16:26:10,1154
2023-02-27 16:49:33,1154
2023-02-27 17:17:14,1154
2023-02-27 17:38:22,1154
2023-02-27 18:23:15,1154
2023-02-27 18:42:57,1154
2023-02-27 19:14:36,1154
2023-02-27 19:37:45,1154
2023-02-27 20:19:54,1154
2023-02-27 20:39:12,1154
2023-02-27 21:16:29,1154
2023-02-27 21:37:58,1154
2023-02-27 22:18:03,1154
2023-02-27 22:39:36,1154
2023-02-27 23:19:00,1154
2023-02-27 23:38:08,1154
2023-02-28 01:37:04,1154
2023-02-28 02:49:19,1154
2023-02-28 03:22:34,1154
2023-02-28 03:40:27,1161
2023-02-28 04:22:46,1162
2023-02-28 04:42:16,1162
2023-02-28 05:17:22,1162
2023-02-28 05:37:53,1162
2023-02-28 06:23:55,1162
2023-02-28 06:43:15,1162
2023-02-28 07:17:04,1162
2023-02-28 07:37:29,1162
2023-02-28 08:24:28,1162
2023-02-28 08:43:20,1162
2023-02-28 09:19:01,1162
2023-02-28 09:39:11,1162
2023-02-28 10:20:28,1162
2023-02-28 10:41:20,1162
2023-02-28 11:15:31,1162
2023-02-28 11:37:40,1162
2023-02-28 12:36:07,1162
2023-02-28 13:27:16,1163
2023-02-28 13:42:09,1163
2023-02-28 14:17:23,1163
2023-02-28 14:39:06,1163
2023-02-28 15:19:14,1163
2023-02-28 15:39:50,1163
2023-02-28 16:25:51,1163
2023-02-28 16:49:06,1163
2023-02-28 17:17:16,1163
2023-02-28 17:38:11,1163
2023-02-28 18:23:25,1163
2023-02-28 18:42:36,1163
2023-02-28 19:15:00,1163
